PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103374855,3004425,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC=C(C4=O)NC(=O)C5=CC=CC=C5)C)C)N(C)C,Active,,,,5.24807,IC50,=,5248.07,nM,
2,103374857,10433924,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)NC(=O)C5=CC=CC=C5)C)C)N(C)C,Unspecified,,,,28.8403,IC50,=,28840.3,nM,
3,103374880,44357881,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)N(C)C)C)C)N(C)C(=O)C,Unspecified,,,,19.9526,IC50,=,19952.6,nM,
4,103374945,10961666,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)/C=C(\C)/C(C)C)C)C)N(C)C,Active,,,,6.16595,IC50,=,6165.95,nM,
5,103374955,11314804,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(C[C@@H]([C@@H](C4)OC)O)C)C)N(C)C,Unspecified,,,,251.189,IC50,=,251189,nM,Outside typical range
6,103374982,11113449,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)/C=C(\C)/C(C)C)C)C)N(C)C,Active,,,,6.45654,IC50,=,6456.54,nM,
7,103375166,10255032,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)/C=C/C5=CC=CC=C5)C)C)N(C)C,Unspecified,,,,19.4985,IC50,=,19498.5,nM,
8,103375222,15043264,C/C=C(\C)/C(=O)N[C@H]1[C@H](C[C@]2([C@H]([C@H]1OC(=O)C)CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4[C@H](C)N(C)C)C)C)O,Unspecified,,,,181.97,IC50,=,181970,nM,Outside typical range
9,103375223,11113852,C/C=C(\C)/C(=O)N[C@H]1[C@H](C[C@]2([C@H]([C@H]1OC(=O)C)CC[C@@H]3[C@@H]2CC[C@]4(C3=CC[C@@H]4[C@H](C)N(C)C)C)C)O,Unspecified,,,,61.6595,IC50,=,61659.5,nM,
10,103375242,10863593,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@@H](C4)NC(=O)C5=CC=CC=C5)O)C)C)N(C)C,Unspecified,,,,77.6247,IC50,=,77624.7,nM,
11,103375245,44358068,C/C=C(\C)/C(=O)N[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1=O)CC[C@@H]4[C@H](C)N(C)C)C)C,Active,,,,7.07946,IC50,=,7079.46,nM,
12,103375320,44358095,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4[C@@]3(CC[C@@H](C4)NC)C)C)N(C)C,Active,,,,6.16595,IC50,=,6165.95,nM,
13,103375358,44358110,C/C=C(\C)/C(=O)N[C@H]1CC[C@@]2([C@H]3CC[C@@]4([C@H](CC=C4[C@@H]3CC=C2C1=O)[C@H](C)N(C)C)C)C,Active,,,,5.7544,IC50,=,5754.4,nM,
14,103375392,44358121,C/C=C(\C)/C(=O)N[C@@H]1[C@@H](C2CC[C@@H]3[C@@H]([C@]2(CC1OC(=O)C)C)CC[C@]4(C3CC=C4[C@H](C)N(C)C)C)OC(=O)C,Unspecified,,,,50.1187,IC50,=,50118.7,nM,
15,103375435,11430659,C/C=C(\C)/C(=O)N[C@@H]1C=C2CC[C@H]3[C@@H]4CC[C@@H]([C@]4(CC[C@@H]3[C@]2(C[C@@H]1O)C)C)[C@H](C)N(C)C,Unspecified,,,,15.8489,IC50,=,15848.9,nM,
16,103375438,11268352,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)NC)C)C)N(C)C,Unspecified,,,,20.4174,IC50,=,20417.4,nM,
17,103375443,15043261,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@@H]([C@@H]4OC(=O)C)NC(=O)C5=CC=CC=C5)O)C)C)N(C)C,Unspecified,,,,229.087,IC50,=,229087,nM,Outside typical range
18,103375516,11393774,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC)C)C)NC,Unspecified,,,,83.1764,IC50,=,83176.4,nM,
19,103375544,44358179,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)NC(=O)C)C)C)N(C)C,Unspecified,,,,69.1831,IC50,=,69183.1,nM,
20,103375558,11373632,C/C=C(\C)/C(=O)N[C@H]1CC[C@@]2([C@H]3CC[C@@]4([C@H](CC=C4[C@@H]3CCC2=C1)[C@H](C)N(C)C)C)C,Active,,,,7.76247,IC50,=,7762.47,nM,
21,103375565,44358199,C/C=C(\C)/C(=O)N[C@H]1[C@H](C[C@@]2([C@H]3CC[C@@]4([C@H](CC=C4[C@@H]3CCC2[C@H]1O)[C@H](C)N(C)C)C)C)O,Unspecified,,,,33.1131,IC50,=,33113.1,nM,
22,103375588,44358210,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC)C)C)N(C)C,Unspecified,,,,42.6579,IC50,=,42657.9,nM,
23,103375590,442979,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)N(C)C)C)C)N(C)C,Unspecified,,,,39.8107,IC50,=,39810.7,nM,
24,103375600,44358214,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)C)C)C)N(C)C,Unspecified,,,,70.7946,IC50,=,70794.6,nM,
25,103375601,11773139,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC)C)C)N(C)C=O,Unspecified,,,,48.9779,IC50,=,48977.9,nM,
26,103375712,44358266,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C)C)C)N(C)C(=O)C,Unspecified,,,,50.1187,IC50,=,50118.7,nM,
27,103375715,44358267,C/C=C(\C)/C(=O)NC1=CC[C@@]2([C@H]3CC[C@@]4([C@H](CCC4[C@@H]3CC[C@H]2C1=O)[C@H](C)N(C)C)C)C,Unspecified,,,,13.8038,IC50,=,13803.8,nM,
28,103375737,44358273,C[C@@H](C1=CCC2[C@@]1(CC[C@H]3[C@H]2CCC4[C@@]3(CC[C@@H]([C@@H]4OC(=O)C)NC(=O)C=C(C)C)C)C)N(C)C,Active,,,,5.24807,IC50,=,5248.07,nM,
29,103375766,44358283,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C)C)C)NC=O,Active,,,,6.45654,IC50,=,6456.54,nM,
30,174489815,11154961,C/C=C(\C)/C(=O)N[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2[C@H]1O)CC[C@@H]4[C@H](C)N(C)C)C)C,Unspecified,,,,30.1995,IC50,=,30199.5,nM,
